id,titulo,preco,linkproduto,thumby
MLB1674178563,Acrc Imóveis - Casa Totalmente Mobiliada Com Área De Festas Completa Para Venda No Bairro Velha - Ca01468 - 68585750,890000,https://casa.mercadolivre.com.br/MLB-1674178563-acrc-imoveis-casa-totalmente-mobiliada-com-area-de-festas-completa-para-venda-no-bairro-velha-ca01468-68585750-_JM,http://http2.mlstatic.com/D_712796-MLB44122938059_112020-I.jpg
MLB1684204265,Acrc Imóveis - Casa Comercial Com Jardim E Piscina Para Venda No Bairro Velha - Ca01475 - 68677862,650000,https://casa.mercadolivre.com.br/MLB-1684204265-acrc-imoveis-casa-comercial-com-jardim-e-piscina-para-venda-no-bairro-velha-ca01475-68677862-_JM,http://http2.mlstatic.com/D_826075-MLB44122920967_112020-I.jpg
MLB1419300763,Acrc Imóveis - Casa - Velha Central - Blumenau - Ca00448 - 32024012,850000,https://casa.mercadolivre.com.br/MLB-1419300763-acrc-imoveis-casa-velha-central-blumenau-ca00448-32024012-_JM,http://http2.mlstatic.com/D_997437-MLB40584369274_012020-I.jpg
MLB1695253865,Casa Mista - Terreno 532m² Bairro Vorstad - Blumenau Sc - Ca0432,90000,https://casa.mercadolivre.com.br/MLB-1695253865-casa-mista-terreno-532m-bairro-vorstad-blumenau-sc-ca0432-_JM,http://http2.mlstatic.com/D_884594-MLB43887223085_102020-I.jpg
MLB1419295985,"Acrc Imóveis - Casa À Venda Na Velha, Com 03 Dormitórios Sendo 01 Suíte E 04 Vagas De Garagem - Ca00790 - 33384480",650000,https://casa.mercadolivre.com.br/MLB-1419295985-acrc-imoveis-casa-venda-na-velha-com-03-dormitorios-sendo-01-suite-e-04-vagas-de-garagem-ca00790-33384480-_JM,http://http2.mlstatic.com/D_982500-MLB40584365895_012020-I.jpg
MLB1800453081,Acrc Imóveis - Casa Semimobiliada Com Amplo Terreno Para Venda No Bairro Velha - Ca01558 - 69232078,650000,https://casa.mercadolivre.com.br/MLB-1800453081-acrc-imoveis-casa-semimobiliada-com-amplo-terreno-para-venda-no-bairro-velha-ca01558-69232078-_JM,http://http2.mlstatic.com/D_711587-MLB44937587680_022021-I.jpg
MLB1881788548,Casa 4 Dormitórios A Venda Em Blumenau - 5944,1300000,https://casa.mercadolivre.com.br/MLB-1881788548-casa-4-dormitorios-a-venda-em-blumenau-5944-_JM,http://http2.mlstatic.com/D_678279-MLB45948019365_052021-I.jpg
MLB1419304058,"Acrc Imóveis - Sobrado À Venda No Bairro Velha, Com 03 Dormitórios Sendo 01 Suíte E 02 Vagas De Garagem - Ca00608 - 32543225",440000,https://casa.mercadolivre.com.br/MLB-1419304058-acrc-imoveis-sobrado-venda-no-bairro-velha-com-03-dormitorios-sendo-01-suite-e-02-vagas-de-garagem-ca00608-32543225-_JM,http://http2.mlstatic.com/D_846978-MLB40584368644_012020-I.jpg
MLB1480309946,"Casa Com Excelente Padrão De Acabamento, Semi-mobiliada E Com Linda Área De Piscina  - 6000328v",580000,https://casa.mercadolivre.com.br/MLB-1480309946-casa-com-excelente-padro-de-acabamento-semi-mobiliada-e-com-linda-area-de-piscina-6000328v-_JM,http://http2.mlstatic.com/D_885697-MLB43611226825_092020-I.jpg
MLB1703837378,"Casa Com 1 Dormitório À Venda, 45 M² Por R$ 180.000,00 - Escola Agrícola - Blumenau/sc - Ca0585",180000,https://casa.mercadolivre.com.br/MLB-1703837378-casa-com-1-dormitorio-venda-45-m-por-r-18000000-escola-agricola-blumenausc-ca0585-_JM,http://http2.mlstatic.com/D_847142-MLB43994844095_112020-I.jpg
MLB1757371488,"Casa De Alvenaria Com 3 Dormitórios, Sala, Lavabo, Cozinha, Banheiro Social, Área De Serviço, Estacionamento Para 2 Carros  Aos Fundos Do Terreno, Mais Uma Edícula. - 35711139v",390000,https://casa.mercadolivre.com.br/MLB-1757371488-casa-de-alvenaria-com-3-dormitorios-sala-lavabo-cozinha-banheiro-social-area-de-servico-estacionamento-para-2-carros-aos-fundos-do-terreno-mais-uma-edicula-35711139v-_JM,http://http2.mlstatic.com/D_848333-MLB44511515165_012021-I.jpg
MLB1719962539,"Linda Casa Em Condomínio Fechado - Condomínio Flamboianty, No Bairro Da Velha, Rua Divinópolis.  - 35711029v",270000,https://casa.mercadolivre.com.br/MLB-1719962539-linda-casa-em-condominio-fechado-condominio-flamboianty-no-bairro-da-velha-rua-divinopolis-35711029v-_JM,http://http2.mlstatic.com/D_854529-MLB44101150288_112020-I.jpg
